col                              col_merge_type col_nan_type
UNIQUE_CARRIER                   0  2
BI_MARKET                        0  2
A1                               0  2
A2                               0  2
YEAR                             0  2
QUARTER                          0  2
MONTH                            0  2
DEPARTURES_SCHEDULED             1  0
DEPARTURES_PERFORMED             1  0
SEATS                            1  0
FLIGHT_TIME_CARRIER_WAVG         1  0
SEATS_PER_FLIGHT_CARRIER_WAVG    1  0
PASSENGERS                       1  0
DAILY_FREQ                       1  0
SEG_PLAYERS                      2  0
SEG_PAX                          2  0
SEG_FREQ                         2  0
SEG_SEATS                        2  0
SEG_PAX_SHARE                    1  0
SEG_FREQ_SHARE                   1  0
SEG_CAPACITY_SHARE               1  0
SEG_LOAD_FACTOR                  2  0
IS_LOWCOST                       3  0
MAIN_LINE                        3  0
SEG_LOWCOST                      2  0
SEG_MAIN_LINE                    2  0
SEG_HHI                               2 0
JACCARD_COEF                          1 0
TRANSITIVITY                          3 0
EDGE_COUNT                            3 0
NODE_COUNT                            3 0
EDGE_NODE_RATIO                       3 0
CARRIER_FLIGHTS                       3 0
CARRIER_PAX                           3 0
CARRIER_SEATS                         3 0
CARRIER_SEATS_FLIGHT_RATIO            3 0
CARRIER_WAVG_PORT_SIZE                3 0
